rank,moviename,year
1.,The Shawshank Redemption,(1994)
2.,The Godfather,(1972)
3.,The Godfather Part II,(1974)
4.,The Dark Knight,(2008)
5.,12 Angry Men,(1957)
6.,Schindler's List,(1993)
7.,The Lord of the Rings: The Return of the King,(2003)
8.,Pulp Fiction,(1994)
9.,"Il buono, il brutto, il cattivo",(1966)
10.,Fight Club,(1999)
11.,Joker,(I) (2019)
12.,The Lord of the Rings: The Fellowship of the Ring,(2001)
13.,Forrest Gump,(1994)
14.,Inception,(2010)
15.,Star Wars: Episode V - The Empire Strikes Back,(1980)
16.,The Lord of the Rings: The Two Towers,(2002)
17.,The Matrix,(1999)
18.,One Flew Over the Cuckoo's Nest,(1975)
19.,Goodfellas,(1990)
20.,Shichinin no samurai,(1954)
21.,Se7en,(1995)
22.,Cidade de Deus,(2002)
23.,La vita è bella,(1997)
24.,The Silence of the Lambs,(1991)
25.,Star Wars,(1977)
26.,It's a Wonderful Life,(1946)
27.,Saving Private Ryan,(1998)
28.,Sen to Chihiro no kamikakushi,(2001)
29.,The Green Mile,(1999)
30.,Léon,(1994)
31.,Seppuku,(1962)
32.,Interstellar,(2014)
33.,The Usual Suspects,(1995)
34.,The Lion King,(1994)
35.,American History X,(1998)
36.,Back to the Future,(1985)
37.,The Pianist,(2002)
38.,Modern Times,(1936)
39.,Terminator 2: Judgment Day,(1991)
40.,The Intouchables,(2011)
41.,Psycho,(1960)
42.,Gladiator,(2000)
43.,City Lights,(1931)
44.,The Departed,(2006)
45.,Whiplash,(2014)
46.,Once Upon a Time in the West,(1968)
47.,The Prestige,(2006)
48.,Avengers: Endgame,(2019)
49.,Casablanca,(1942)
50.,Hotaru no haka,(1988)
51.,Rear Window,(1954)
52.,Nuovo Cinema Paradiso,(1988)
53.,Alien,(1979)
54.,Raiders of the Lost Ark,(1981)
55.,Memento,(2000)
56.,Apocalypse Now,(1979)
57.,The Great Dictator,(1940)
58.,The Lives of Others,(2006)
59.,Avengers: Infinity War,(2018)
60.,Django Unchained,(2012)
61.,Spider-Man: Into the Spider-Verse,(2018)
62.,The Shining,(1980)
63.,Paths of Glory,(1957)
64.,WALL·E,(2008)
65.,Sunset Boulevard,(1950)
66.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964)
67.,Mononoke-hime,(1997)
68.,Oldeuboi,(2003)
69.,Witness for the Prosecution,(1957)
70.,The Dark Knight Rises,(2012)
71.,Once Upon a Time in America,(1984)
72.,Gisaengchung,(2019)
73.,Aliens,(1986)
74.,American Beauty,(1999)
75.,Coco,(I) (2017)
76.,Kimi no na wa.,(2016)
77.,Braveheart,(1995)
78.,Das Boot,(1981)
79.,3 Idiots,(2009)
80.,Taare Zameen Par,(2007)
81.,Star Wars: Episode VI - Return of the Jedi,(1983)
82.,Toy Story,(1995)
83.,Reservoir Dogs,(1992)
84.,Amadeus,(1984)
85.,Dangal,(2016)
86.,Good Will Hunting,(1997)
87.,Inglourious Basterds,(2009)
88.,M - Eine Stadt sucht einen Mörder,(1931)
89.,Requiem for a Dream,(2000)
90.,2001: A Space Odyssey,(1968)
91.,Vertigo,(1958)
92.,Eternal Sunshine of the Spotless Mind,(2004)
93.,Citizen Kane,(1941)
94.,Full Metal Jacket,(1987)
95.,Jagten,(2012)
96.,North by Northwest,(1959)
97.,A Clockwork Orange,(1971)
98.,Snatch,(2000)
99.,Le fabuleux destin d'Amélie Poulain,(2001)
100.,The Kid,(1921)
